Assignment: GS 540 HW6
Name: Tanush Goel
Email: tgoel02@uw.edu
Language: Python
Runtime: ~28 seconds

Segment Histogram:
Non-Elevated CN Segments=756
Elevated CN Segments=755

Segment List:
14774 15294 24.10
16579 18935 38.10
20621 21238 28.20
21750 22121 27.81
52759 52891 22.78
458396 458684 100.39
494624 494961 91.16
818540 818893 46.46
846586 846663 32.07
857802 859275 56.69
954913 955529 28.44
1919956 1920358 40.38
2551087 2552165 37.73
2559442 2560372 26.13
3423763 3424416 23.26
4344366 4344576 37.08
4720138 4720191 26.10
4998706 4998753 21.35
5061476 5061498 24.76
5500191 5500228 39.75
6350419 6350474 29.90
6641708 6641872 23.95
8861146 8861327 22.18
9584394 9584429 33.42
9686359 9686831 23.48
11067143 11067192 21.69
11638685 11638745 20.45
11894145 11894198 22.43
11928740 11929194 23.55
14435253 14435281 24.67
14451840 14451862 25.37
14900620 14901161 20.62
14928070 14928363 25.13
15162643 15163436 42.11
15164194 15165358 21.95
15247419 15248082 20.90
15340858 15341398 32.45
16419679 16420652 46.12
16479952 16480184 34.87
16522011 16523159 33.65
16599822 16601602 65.74
16605859 16607104 43.20
16624751 16625674 25.74
16632032 16637479 156.56
16638337 16639249 28.07
16642743 16646735 140.49
16651273 16654086 85.48
16678539 16679555 44.91
16806549 16806582 29.45
18594847 18595336 20.93
18638339 18638680 26.36
18644078 18644447 29.81
18874855 18874922 34.59
21411945 21417252 69.81
21426084 21426475 20.42
21432965 21435647 32.93
21436303 21437216 27.37
21438493 21442001 32.77
21444835 21446746 35.76
21448275 21454118 54.64
21459699 21460501 25.87
21462453 21464377 59.03
21466765 21467847 39.09
21471503 21472927 57.21
21473701 21474867 41.71
21482933 21486166 74.09
21492924 21493906 25.79
21496180 21498009 31.25
21499109 21501250 22.63
21502719 21520182 651.67
21521018 21582769 2397.44
21642634 21643313 20.96
21729950 21730436 25.96
21736805 21737282 29.85
21737810 21747576 260.80
21748314 21753249 32.97
21754208 21757674 49.21
21759916 21775755 630.30
21776844 21782966 109.37
21784688 21793816 257.98
21844152 21845627 38.85
21849413 21849890 26.90
21859257 21863243 94.40
21863718 21865461 39.34
21869095 21870814 64.01
21874431 21875724 34.41
21877751 21881034 53.69
21884091 21884984 20.75
21888184 21889639 30.44
21895874 21898917 41.93
21900808 21902057 25.06
21911758 21913816 55.58
21915242 21921367 82.70
21928658 21929730 23.70
22368551 22369055 21.15
22438106 22440122 29.10
22440772 22442447 44.21
22447835 22453772 176.26
22460383 22463360 61.41
22468011 22481998 265.79
22483243 22487651 44.74
22489150 22492380 58.76
22493432 22497654 43.11
22504258 22505782 25.94
22511033 22512355 28.39
22514057 22514744 31.85
22516182 22517394 26.78
22521640 22524179 36.67
22525956 22530268 139.53
22531268 22532655 38.94
22533726 22534971 37.18
22536486 22554794 532.31
22555838 22565156 120.93
22566505 22571426 93.16
22572017 22576070 147.49
22577600 22578734 21.70
22591671 22594450 50.54
22596740 22601295 115.51
22603244 22603831 33.27
22606365 22657577 2299.76
22657910 22699318 2080.47
24689982 24690049 27.52
26374048 26374693 20.53
26483219 26484431 57.56
26502586 26503070 20.88
27138960 27139268 45.93
28341872 28342831 21.92
28351152 28353021 34.35
28434240 28434975 20.22
28452657 28453888 33.48
28457113 28458234 51.26
28459592 28465679 177.54
28466982 28468558 33.15
28601435 28602284 24.27
28654370 28655361 34.77
28663067 28663415 21.49
28681824 28682328 26.36
28761954 28762747 24.45
28768944 28770378 36.22
28801537 28802454 37.53
28803134 28804279 68.01
28809340 28811050 25.79
29041544 29042523 37.34
29046954 29048584 50.26
29049267 29050939 41.55
29053951 29054713 24.97
29058105 29059883 34.40
29063493 29063923 33.21
29384935 29386110 36.03
29405698 29406617 41.35
29436906 29437193 22.85
29442351 29446018 84.25
29448423 29449085 36.27
29451738 29454842 90.29
29456803 29460517 74.59
29468279 29475886 132.24
29477995 29479195 21.56
29483623 29488271 56.30
29489812 29493826 51.61
29494958 29497161 53.44
29500067 29500880 20.01
29501980 29503547 25.93
29506938 29509731 83.04
29510563 29516216 112.62
29518490 29524423 121.54
29525783 29533464 195.18
29535323 29536293 23.60
29536925 29540335 43.46
29548104 29551085 31.71
29569629 29570181 20.60
29621436 29621956 32.79
30178235 30178261 22.47
30191938 30192655 23.28
30193700 30194148 21.86
30195890 30196908 28.96
30199400 30199750 20.72
30201222 30201979 26.07
30203927 30205489 29.98
30210570 30212284 25.89
30217142 30218495 28.00
30221841 30222525 32.71
30227809 30229285 29.35
30232763 30235655 57.67
30243433 30245923 43.67
30246561 30256520 102.47
30257667 30260087 43.52
30265985 30269192 74.66
30269934 30271463 25.93
30272230 30278490 134.42
30278973 30287443 216.02
30290133 30290645 26.11
30365534 30366244 25.87
30592517 30592561 25.90
30844340 30844365 23.85
31671813 31671888 20.03
32082526 32083649 37.57
32086223 32098241 448.95
32099295 32100358 42.83
32101372 32102057 49.67
32103441 32104339 38.93
32105983 32108316 96.32
32109144 32115357 113.03
32116410 32116798 33.00
32123026 32128373 126.44
32129458 32130849 53.71
32132749 32134120 27.15
32135281 32136142 22.42
32137934 32138680 25.47
32285417 32286696 48.98
32293177 32294081 55.83
32295222 32295923 23.36
32297487 32299369 41.75
32351231 32352181 29.85
32410098 32429119 918.22
32455144 32455823 44.42
32458677 32459128 28.05
